Count_cell_all,Count_cell_final,FileName_PM,FileName_TOTAL,FileName_nucleus,FileName_nucleus_cell_final_outline,FileName_score_bw,ImageNumber,ImageQuality_PowerLogLogSlope_nucleus,Intensity_MedianIntensity_PM_bgCorr_bgMask,Intensity_MedianIntensity_TOTAL_bgCorr_bgMask,Mean_cell_final_Intensity_IntegratedIntensity_PM_bgCorr_intraimage,Mean_cell_final_Intensity_IntegratedIntensity_TOTAL_bgCorr_intraimage,Mean_cell_final_Math_cytoplasmAbundance,Mean_cell_final_Math_ratio,Mean_nucleus_final_AreaShape_Area,Mean_nucleus_final_AreaShape_Center_X,Mean_nucleus_final_AreaShape_Center_Y,Mean_nucleus_final_AreaShape_Compactness,Mean_nucleus_final_AreaShape_Eccentricity,Mean_nucleus_final_AreaShape_EulerNumber,Mean_nucleus_final_AreaShape_Extent,Mean_nucleus_final_AreaShape_FormFactor,Mean_nucleus_final_AreaShape_MajorAxisLength,Mean_nucleus_final_AreaShape_MaxFeretDiameter,Mean_nucleus_final_AreaShape_MaximumRadius,Mean_nucleus_final_AreaShape_MeanRadius,Mean_nucleus_final_AreaShape_MedianRadius,Mean_nucleus_final_AreaShape_MinFeretDiameter,Mean_nucleus_final_AreaShape_MinorAxisLength,Mean_nucleus_final_AreaShape_Orientation,Mean_nucleus_final_AreaShape_Perimeter,Mean_nucleus_final_AreaShape_Solidity,Median_cell_final_Intensity_IntegratedIntensity_PM_bgCorr_intraimage,Median_cell_final_Intensity_IntegratedIntensity_TOTAL_bgCorr_intraimage,Median_cell_final_Math_cytoplasmAbundance,Median_cell_final_Math_ratio,Metadata_Channel,Metadata_FileLocation,Metadata_gene,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_plateRepl,Metadata_posNum,Metadata_posPath,Metadata_siRNA,Metadata_wellNum,Metadata_wellPath,PathName_PM,PathName_TOTAL,PathName_nucleus,PathName_nucleus_cell_final_outline,Treatment
73,7,myplate_01--INCENP--404--W001--P01--PM.tif,myplate_01--INCENP--404--W001--P01--TOTAL.tif,myplate_01--INCENP--404--W001--P01--DNA.tif,myplate_01--INCENP--404--W001--P01--outlines.tif,myplate_01--INCENP--404--W001--P01--score.tif,1,-1.68353920427,0.000204394571483,0.000244991155341,16.3597161526,12.776329113,1,1.30738404296,1253.57142857,694,561,1.03213222909,0.514906235131,1,0.747500080617,0.845859101425,43.4189127245,43.512806547,17.7079640045,6.57205755511,5.86751322101,35.8972566324,36.4729694277,-43.3370124485,135.616285714,0.949752271004,14.6583656366,10.4678877471,1,1.39420998889,NA,NA,INCENP,myplate_01--INCENP--404--W001--P01,C:\tutorial,myplate,myplate_01,1,1,P01--INCENP--404,404,1,W001--INCENP--404,C:\tutorial\myplate_01\W001--INCENP--404\P01--INCENP--404,C:\tutorial\myplate_01\W001--INCENP--404\P01--INCENP--404,C:\tutorial\myplate_01\W001--INCENP--404\P01--INCENP--404,C:\tutorial\myplate_01--cellprofiler\W001--INCENP--404\P01--INCENP--404,INCENP_404
41,12,myplate_01--PIK3CA--255--W002--P01--PM.tif,myplate_01--PIK3CA--255--W002--P01--TOTAL.tif,myplate_01--PIK3CA--255--W002--P01--DNA.tif,myplate_01--PIK3CA--255--W002--P01--outlines.tif,myplate_01--PIK3CA--255--W002--P01--score.tif,2,-1.78258500572,0.000601129140705,0.000275509199128,16.7636972379,29.8200022256,1,0.945693878833,1368.83333333,695.416666667,485,1.04293242462,0.556499564696,1,0.745402363027,0.848506342739,46.1092101283,46.3140194831,17.8719820362,6.72775578957,5.99719446265,36.4314195731,36.9367974505,-1.7125161132,140.347,0.956955660769,15.4398791536,19.2247883502,1,1.04559778509,NA,NA,PIK3CA,myplate_01--PIK3CA--255--W002--P01,C:\tutorial,myplate,myplate_01,1,1,P01--PIK3CA--255,255,2,W002--PIK3CA--255,C:\tutorial\myplate_01\W002--PIK3CA--255\P01--PIK3CA--255,C:\tutorial\myplate_01\W002--PIK3CA--255\P01--PIK3CA--255,C:\tutorial\myplate_01\W002--PIK3CA--255\P01--PIK3CA--255,C:\tutorial\myplate_01--cellprofiler\W002--PIK3CA--255\P01--PIK3CA--255,PIK3CA_255
82,31,myplate_01--EPS8--193--W003--P01--PM.tif,myplate_01--EPS8--193--W003--P01--TOTAL.tif,myplate_01--EPS8--193--W003--P01--DNA.tif,myplate_01--EPS8--193--W003--P01--outlines.tif,myplate_01--EPS8--193--W003--P01--score.tif,3,-1.76097378044,0.000448538921773,0.000260250177234,14.3226711897,17.4438038743,1,1.09180412946,1256.80645161,619.741935484,491.516129032,1.03385634402,0.557407217333,1,0.754571106871,0.868276433051,44.1763170035,43.9024840765,17.5938228172,6.62293484768,5.88189881018,35.2217658129,35.8692437474,-10.648065759,133.969354839,0.959786501923,13.6571601904,12.3528649476,1,1.05758891379,NA,NA,EPS8,myplate_01--EPS8--193--W003--P01,C:\tutorial,myplate,myplate_01,1,1,P01--EPS8--193,193,3,W003--EPS8--193,C:\tutorial\myplate_01\W003--EPS8--193\P01--EPS8--193,C:\tutorial\myplate_01\W003--EPS8--193\P01--EPS8--193,C:\tutorial\myplate_01\W003--EPS8--193\P01--EPS8--193,C:\tutorial\myplate_01--cellprofiler\W003--EPS8--193\P01--EPS8--193,EPS8_193
62,18,myplate_01--PLCG2--515--W004--P01--PM.tif,myplate_01--PLCG2--515--W004--P01--TOTAL.tif,myplate_01--PLCG2--515--W004--P01--DNA.tif,myplate_01--PLCG2--515--W004--P01--outlines.tif,myplate_01--PLCG2--515--W004--P01--score.tif,4,-1.79339648911,0.000601129140705,0.000260250177234,15.0733888074,15.7830583892,1,1.22248455679,1177.72222222,645.277777778,441.444444444,1.03766552665,0.528430446806,1,0.748769915244,0.853663546798,42.7577361865,43.0489290674,17.1740329655,6.43319236655,5.70966449888,34.6126724526,35.0865819603,-6.04953826804,130.966111111,0.955292972607,13.1437623617,10.8718854305,1,1.24886651541,NA,NA,PLCG2,myplate_01--PLCG2--515--W004--P01,C:\tutorial,myplate,myplate_01,1,1,P01--PLCG2--515,515,4,W004--PLCG2--515,C:\tutorial\myplate_01\W004--PLCG2--515\P01--PLCG2--515,C:\tutorial\myplate_01\W004--PLCG2--515\P01--PLCG2--515,C:\tutorial\myplate_01\W004--PLCG2--515\P01--PLCG2--515,C:\tutorial\myplate_01--cellprofiler\W004--PLCG2--515\P01--PLCG2--515,PLCG2_515
71,32,myplate_01--RAD52--519--W005--P01--PM.tif,myplate_01--RAD52--519--W005--P01--TOTAL.tif,myplate_01--RAD52--519--W005--P01--DNA.tif,myplate_01--RAD52--519--W005--P01--outlines.tif,myplate_01--RAD52--519--W005--P01--score.tif,5,-1.72067134344,0.00104364100844,0.000244991155341,15.3227551815,17.5947610638,1,1.03932825039,1229.1875,498.5625,391.4375,1.0449400616,0.56966536694,1,0.74898407292,0.85627365282,44.1463469716,43.7256645792,17.1186599204,6.48161464508,5.77244138388,34.7788472929,35.442357355,-6.94750324786,133.3735625,0.957478110014,15.2838325738,15.2746854923,1,1.1308712488,NA,NA,RAD52,myplate_01--RAD52--519--W005--P01,C:\tutorial,myplate,myplate_01,1,1,P01--RAD52--519,519,5,W005--RAD52--519,C:\tutorial\myplate_01\W005--RAD52--519\P01--RAD52--519,C:\tutorial\myplate_01\W005--RAD52--519\P01--RAD52--519,C:\tutorial\myplate_01\W005--RAD52--519\P01--RAD52--519,C:\tutorial\myplate_01--cellprofiler\W005--RAD52--519\P01--RAD52--519,RAD52_519
65,27,myplate_01--SNCG--880--W006--P01--PM.tif,myplate_01--SNCG--880--W006--P01--TOTAL.tif,myplate_01--SNCG--880--W006--P01--DNA.tif,myplate_01--SNCG--880--W006--P01--outlines.tif,myplate_01--SNCG--880--W006--P01--score.tif,6,-1.73341569896,0.000631647184491,0.000244991155341,14.3253692804,20.7335714375,1,1.00398292402,1229.96296296,528.111111111,515.333333333,1.04006296706,0.541434661971,1,0.756028391561,0.861669275857,43.7168476925,43.8212717825,17.2733790961,6.47563406135,5.77657617588,34.799873375,35.4072645545,17.7076489481,132.776666667,0.959932557544,13.8784617274,13.5958954811,1,1.21737976196,NA,NA,SNCG,myplate_01--SNCG--880--W006--P01,C:\tutorial,myplate,myplate_01,1,1,P01--SNCG--880,880,6,W006--SNCG--880,C:\tutorial\myplate_01\W006--SNCG--880\P01--SNCG--880,C:\tutorial\myplate_01\W006--SNCG--880\P01--SNCG--880,C:\tutorial\myplate_01\W006--SNCG--880\P01--SNCG--880,C:\tutorial\myplate_01--cellprofiler\W006--SNCG--880\P01--SNCG--880,SNCG_880
61,17,myplate_01--CREBBP--952--W007--P01--PM.tif,myplate_01--CREBBP--952--W007--P01--TOTAL.tif,myplate_01--CREBBP--952--W007--P01--DNA.tif,myplate_01--CREBBP--952--W007--P01--outlines.tif,myplate_01--CREBBP--952--W007--P01--score.tif,7,-1.7675622543,0.000570611096919,0.000260250177234,17.7210947581,25.5838965343,1,1.02566871763,1532.82352941,503.705882353,463,1.04684129461,0.579124321269,1,0.756699412891,0.837700211157,49.5701435704,49.3739348451,18.5385050756,7.05825230541,6.30239823915,38.6714647628,38.9276539996,2.21969863749,150.601764706,0.957194855561,15.2276799264,15.7812312949,1,0.989385626131,NA,NA,CREBBP,myplate_01--CREBBP--952--W007--P01,C:\tutorial,myplate,myplate_01,1,1,P01--CREBBP--952,952,7,W007--CREBBP--952,C:\tutorial\myplate_01\W007--CREBBP--952\P01--CREBBP--952,C:\tutorial\myplate_01\W007--CREBBP--952\P01--CREBBP--952,C:\tutorial\myplate_01\W007--CREBBP--952\P01--CREBBP--952,C:\tutorial\myplate_01--cellprofiler\W007--CREBBP--952\P01--CREBBP--952,CREBBP_952
89,43,myplate_01--CTGF--886--W008--P01--PM.tif,myplate_01--CTGF--886--W008--P01--TOTAL.tif,myplate_01--CTGF--886--W008--P01--DNA.tif,myplate_01--CTGF--886--W008--P01--outlines.tif,myplate_01--CTGF--886--W008--P01--score.tif,8,-1.72490750167,0.000616388162598,0.000260250177234,14.3220600532,21.7417702579,1,0.903286375717,1234.46511628,634.976744186,400.88372093,1.03357738227,0.547777138042,1,0.752454277154,0.865298633508,43.7408945699,43.6652894528,17.3517646625,6.54140254863,5.84695989427,34.8056667201,35.50749552,-1.89013819033,132.799395349,0.958977339528,14.4577244553,16.8460976104,1,0.896524929488,NA,NA,CTGF,myplate_01--CTGF--886--W008--P01,C:\tutorial,myplate,myplate_01,1,1,P01--CTGF--886,886,8,W008--CTGF--886,C:\tutorial\myplate_01\W008--CTGF--886\P01--CTGF--886,C:\tutorial\myplate_01\W008--CTGF--886\P01--CTGF--886,C:\tutorial\myplate_01\W008--CTGF--886\P01--CTGF--886,C:\tutorial\myplate_01--cellprofiler\W008--CTGF--886\P01--CTGF--886,CTGF_886
74,22,myplate_01--COPB1--736--W009--P01--PM.tif,myplate_01--COPB1--736--W009--P01--TOTAL.tif,myplate_01--COPB1--736--W009--P01--DNA.tif,myplate_01--COPB1--736--W009--P01--outlines.tif,myplate_01--COPB1--736--W009--P01--score.tif,9,-1.77288310949,0.000524834031239,0.000306027242914,15.4663061317,22.1019996393,1,0.976743723488,1427.77272727,638.863636364,668.636363636,1.0275553337,0.550692069368,1,0.760387585362,0.871189469089,46.5203960721,46.51849943,18.8863744945,7.03376956557,6.26484351017,37.6060171947,38.2040938193,6.8750839239,141.934181818,0.962856125523,12.847387103,19.0790955867,1,0.938775389131,NA,NA,COPB1,myplate_01--COPB1--736--W009--P01,C:\tutorial,myplate,myplate_01,1,1,P01--COPB1--736,736,9,W009--COPB1--736,C:\tutorial\myplate_01\W009--COPB1--736\P01--COPB1--736,C:\tutorial\myplate_01\W009--COPB1--736\P01--COPB1--736,C:\tutorial\myplate_01\W009--COPB1--736\P01--COPB1--736,C:\tutorial\myplate_01--cellprofiler\W009--COPB1--736\P01--COPB1--736,COPB1_736
100,45,myplate_01--BLM--489--W010--P01--PM.tif,myplate_01--BLM--489--W010--P01--TOTAL.tif,myplate_01--BLM--489--W010--P01--DNA.tif,myplate_01--BLM--489--W010--P01--outlines.tif,myplate_01--BLM--489--W010--P01--score.tif,10,-1.92917186918,0.000402761856094,0.000244991155341,14.3692751727,25.9106274049,1,0.824847648161,1463.13333333,679.955555556,516.8,1.03176790933,0.535923035097,1,0.759258379389,0.862335646227,47.2766593371,47.3533736724,19.0734077445,7.10890791707,6.30711914032,38.2090688967,38.9373015871,5.72814874992,144.926844444,0.959978336613,13.9266651473,17.0205081087,1,0.772114497838,NA,NA,BLM,myplate_01--BLM--489--W010--P01,C:\tutorial,myplate,myplate_01,1,1,P01--BLM--489,489,10,W010--BLM--489,C:\tutorial\myplate_01\W010--BLM--489\P01--BLM--489,C:\tutorial\myplate_01\W010--BLM--489\P01--BLM--489,C:\tutorial\myplate_01\W010--BLM--489\P01--BLM--489,C:\tutorial\myplate_01--cellprofiler\W010--BLM--489\P01--BLM--489,BLM_489
