"","ImageNumber","Count_Nuclei","FileName_Dna","FileName_Overlay","ImageQuality_PowerLogLogSlope_Dna","Mean_Nuclei_AreaShape_Area","Mean_Nuclei_Intensity_IntegratedIntensity_Dna","Mean_Nuclei_Intensity_MaxIntensity_Dna","Mean_Nuclei_Intensity_MeanIntensity_Dna","Metadata_gene","Metadata_plate","Metadata_posNum","Metadata_siRNA","Metadata_timeNum","Metadata_wellNum","PathName_Dna","PathName_Overlay","Metadata_gene_siRNA","Metadata_batch_treatment"
"1",1,191,"EMBO_2012_Group1--s7903--KIF11--W0014--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s7903--KIF11--W0014--P001--T00090--Z000--C01.ome.png.jpg",-0.936340413,474.2303665,9.756952598,0.043217709,0.02030519,"KIF11","EMBO_2012_Group1",1,"s7903",90,14,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00014--s7903--KIF11/P00001--s7903--KIF11","/g/EMBO_HTM_2012--cp/images","KIF11_s7903","EMBO_2012_Group1__KIF11"
"2",2,599,"EMBO_2012_Group1--empty--empty--W0013--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0013--P001--T00090--Z000--C01.ome.png.jpg",-1.232561103,547.5392321,7.720840946,0.02031602,0.013238725,"empty","EMBO_2012_Group1",1,"empty",90,13,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00013--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"3",3,393,"EMBO_2012_Group1--empty--empty--W0016--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0016--P001--T00090--Z000--C01.ome.png.jpg",-1.328416228,565.4173028,7.61879029,0.019896192,0.012958234,"empty","EMBO_2012_Group1",1,"empty",90,16,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00016--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"4",4,487,"EMBO_2012_Group1--XWNeg9--XWNeg9--W0015--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--XWNeg9--XWNeg9--W0015--P001--T00090--Z000--C01.ome.png.jpg",-1.26114655,588.5811088,8.908609369,0.022143879,0.013986143,"XWNeg9","EMBO_2012_Group1",1,"XWNeg9",90,15,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00015--XWNeg9--XWNeg9/P00001--XWNeg9--XWNeg9","/g/EMBO_HTM_2012--cp/images","XWNeg9_XWNeg9","EMBO_2012_Group1__XWNeg9"
"5",5,257,"EMBO_2012_Group2--s21911--CIT--W0021--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s21911--CIT--W0021--P001--T00090--Z000--C01.ome.png.jpg",-1.611301876,736.4435798,6.396147092,0.011910542,0.008316838,"CIT","EMBO_2012_Group2",1,"s21911",90,21,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00021--s21911--CIT/P00001--s21911--CIT","/g/EMBO_HTM_2012--cp/images","CIT_s21911","EMBO_2012_Group2__CIT"
"6",6,203,"EMBO_2012_Group2--s444246--XWNeg9--W0024--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s444246--XWNeg9--W0024--P001--T00090--Z000--C01.ome.png.jpg",-1.363182034,648.8669951,6.925444193,0.017329072,0.01041237,"XWNeg9","EMBO_2012_Group2",1,"s444246",90,24,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00024--s444246--XWNeg9/P00001--s444246--XWNeg9","/g/EMBO_HTM_2012--cp/images","XWNeg9_s444246","EMBO_2012_Group2__XWNeg9"
"7",7,306,"EMBO_2012_Group2--empty--empty--W0023--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0023--P001--T00090--Z000--C01.ome.png.jpg",-1.603357309,580.0294118,5.274121414,0.012336785,0.008632119,"empty","EMBO_2012_Group2",1,"empty",90,23,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00023--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"8",8,180,"EMBO_2012_Group2--s17612--AURKB--W0022--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s17612--AURKB--W0022--P001--T00090--Z000--C01.ome.png.jpg",-1.385303628,913.1166667,9.185246667,0.016313945,0.009405943,"AURKB","EMBO_2012_Group2",1,"s17612",90,22,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00022--s17612--AURKB/P00001--s17612--AURKB","/g/EMBO_HTM_2012--cp/images","AURKB_s17612","EMBO_2012_Group2__AURKB"
"9",9,634,"EMBO_2012_Group1--empty--empty--W0002--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0002--P001--T00090--Z000--C01.ome.png.jpg",-1.232678259,601.807571,8.949805423,0.021746649,0.014084997,"empty","EMBO_2012_Group1",1,"empty",90,2,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00002--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"10",10,473,"EMBO_2012_Group1--empty--empty--W0003--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0003--P001--T00090--Z000--C01.ome.png.jpg",-1.271170308,545.7336152,8.11474278,0.021223869,0.014023752,"empty","EMBO_2012_Group1",1,"empty",90,3,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00003--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
